NumShrinks,loss_pol_surr,loss_pol_klpen,loss_pol_entpen,loss_vf_loss,loss_kl,loss_ent,ev_tdlam_before,EpRewMean,EpLenMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,TimeElapsed
1,-0.0525481374934,0.000383457953603,0.0,0.195932432543,0.0149619334552,4.87575340271,0.823560446501,161.426107216,292.5,28.0,378.0,137953.0,52.07552719116211
1,-0.0440023972915,0.000891314947694,0.0,0.170539403916,0.0231851487915,4.87575340271,0.784753248096,141.235444454,341.32,25.0,403.0,146486.0,55.34430527687073
1,-0.0453349042509,0.000456619603028,0.0,0.16427313321,0.0118777245661,4.87575340271,0.81904566288,301.144582469,448.647058824,17.0,420.0,154113.0,58.27351450920105
1,-0.0523262663628,0.000498463401982,0.0,0.165951128001,0.0129661778628,4.87575340271,0.859793096781,281.180816085,471.684210526,19.0,439.0,163075.0,61.16972231864929
1,-0.0470763626072,0.000496859174291,0.0,0.1416731684,0.0129244481795,4.87575340271,0.823535740376,192.529525503,378.666666667,21.0,460.0,171027.0,64.09055399894714
1,-0.040687812434,0.000627717667612,0.0,0.287362070405,0.0163283781803,4.87575340271,0.764936164021,98.0087310158,265.133333333,30.0,490.0,178981.0,67.14020419120789
1,-0.048955983264,0.000465648980025,0.0,0.134157502791,0.0121125994483,4.87575340271,0.772308632731,225.171719217,401.7,20.0,510.0,187015.0,70.14456295967102
1,-0.0459611559927,0.000526766762505,0.0,0.109866705199,0.0137024132564,4.87575340271,0.791720598936,220.549158125,461.555555556,18.0,528.0,195323.0,73.3537392616272
1,-0.0452589630731,0.000588533022892,0.0,0.155348588945,0.0153090956373,4.87575340271,0.679537802935,127.498719021,373.285714286,21.0,549.0,203162.0,76.50178861618042
1,-0.0492878200021,0.000565376753912,0.0,0.234906333324,0.0147067478974,4.87575340271,0.78740157187,188.584460017,355.833333333,24.0,573.0,211702.0,80.26735496520996
1,-0.0507927029903,0.00048918241373,0.0,0.168937015231,0.0127247580094,4.87575340271,0.778578177094,228.569266239,296.111111111,27.0,600.0,219697.0,83.54318857192993
1,-0.0461052714381,0.000498726623846,0.0,0.17373166536,0.0129730248736,4.87575340271,0.681114554405,191.802267437,368.545454545,22.0,622.0,227805.0,86.42461252212524
1,-0.0446854018082,0.000588613168929,0.0,0.139551557251,0.0153111802865,4.87575340271,0.806244492531,163.897552912,368.791666667,24.0,646.0,236656.0,89.19716095924377
1,-0.0437594072719,0.000585342662816,0.0,0.170178251457,0.0152261070325,4.87575340271,0.736340343952,340.97211566,486.625,16.0,662.0,244442.0,92.21494436264038
1,-0.0432639248902,0.000479612579511,0.0,0.184303592891,0.0124758247402,4.87575340271,0.802661880851,286.417444777,356.909090909,22.0,684.0,252294.0,95.2698335647583
1,-0.0469009623921,0.000563806304399,0.0,0.192025410361,0.0146658968151,4.87575340271,0.746940165758,214.968131131,329.923076923,26.0,710.0,260872.0,98.26625728607178
